data_id,api_url_id,param_seq,value_seq,value_set,value_set_desc,parent_set
DT0001,AU0001,2,1,MT_ZTITLE,국내통계 주제별,
DT0001,AU0001,2,2,MT_OTITLE,국내통계 기관별,
DT0001,AU0001,2,3,MT_GTITLE01,e-지방지표(주제별),
DT0001,AU0001,2,4,MT_GTITLE02,e-지방지표(지역별),
DT0001,AU0001,2,5,MT_GTITLE03,e-지방지표(테마별),
DT0001,AU0001,2,6,MT_CHOSUN_TITLE,광복이전통계(1908~1943),
DT0001,AU0001,2,7,MT_HANKUK_TITLE,대한민국통계연감,
DT0001,AU0001,2,8,MT_STOP_TITLE,작성중지통계,
DT0001,AU0001,2,9,MT_RTITLE,국제통계,
DT0001,AU0001,2,10,MT_BUKHAN,북한통계,
DT0001,AU0001,2,11,MT_TM1_TITLE,대상별통계,
DT0001,AU0001,2,12,MT_TM2_TITLE,이슈별통계,
DT0001,AU0001,3,1,A,인구,MT_ZTITLE
DT0001,AU0001,3,2,B,사회일반,MT_ZTITLE
DT0001,AU0001,3,3,C,범죄ㆍ안전,MT_ZTITLE
DT0001,AU0001,3,4,D,노동,MT_ZTITLE
DT0001,AU0001,3,5,E,소득ㆍ소비ㆍ자산,MT_ZTITLE
DT0001,AU0001,3,6,F,보건,MT_ZTITLE
DT0001,AU0001,3,7,G,복지,MT_ZTITLE
DT0001,AU0001,3,8,H1,교육.훈련,MT_ZTITLE
DT0001,AU0001,3,9,H2,문화ㆍ여가,MT_ZTITLE
DT0001,AU0001,3,10,I1,주거,MT_ZTITLE
DT0001,AU0001,3,11,I2,국토이용,MT_ZTITLE
DT0001,AU0001,3,12,J1,경제일반ㆍ경기,MT_ZTITLE
DT0001,AU0001,3,13,J2,기업경영,MT_ZTITLE
DT0001,AU0001,3,14,K1,농림,MT_ZTITLE
DT0001,AU0001,3,15,K2,수산,MT_ZTITLE
DT0001,AU0001,3,16,L,광업ㆍ제조업,MT_ZTITLE
DT0001,AU0001,3,17,M1,건설,MT_ZTITLE
DT0001,AU0001,3,18,M2,교통ㆍ물류,MT_ZTITLE
DT0001,AU0001,3,19,N1,정보통신,MT_ZTITLE
DT0001,AU0001,3,20,N2,과학ㆍ기술,MT_ZTITLE
DT0001,AU0001,3,21,O,도소매ㆍ서비스,MT_ZTITLE
DT0001,AU0001,3,22,P1,임금,MT_ZTITLE
DT0001,AU0001,3,23,P2,물가,MT_ZTITLE
DT0001,AU0001,3,24,Q,국민계정,MT_ZTITLE
DT0001,AU0001,3,25,R,정부ㆍ재정,MT_ZTITLE
DT0001,AU0001,3,26,S1,금융,MT_ZTITLE
DT0001,AU0001,3,27,S2,무역ㆍ국제수지,MT_ZTITLE
DT0001,AU0001,3,28,T,환경,MT_ZTITLE
DT0001,AU0001,3,29,U,에너지,MT_ZTITLE
DT0001,AU0001,3,30,V,지역통계,MT_ZTITLE
DT0001,AU0001,3,31,179,개인정보 보호위원회,MT_OTITLE
DT0001,AU0001,3,32,135,검찰청,MT_OTITLE
DT0001,AU0001,3,33,132,경찰청,MT_OTITLE
DT0001,AU0001,3,34,118,고용노동부,MT_OTITLE
DT0001,AU0001,3,35,152,공정거래위원회,MT_OTITLE
DT0001,AU0001,3,36,127,과학기술정보통신부,MT_OTITLE
DT0001,AU0001,3,37,134,관세청,MT_OTITLE
DT0001,AU0001,3,38,112,교육부,MT_OTITLE
