api_url_id,result_seq,result_id,result_nm,data_type,data_len,is_pk,is_missing,param_id
AU0001,1,PARENT_ID,시작목록 ID,VARCHAR,50,Y,N,parentListId
AU0001,2,VW_CD,서비스뷰ID,VARCHAR,40,Y,N,
AU0001,3,VW_NM,서비스뷰명,VARCHAR,300,N,N,
AU0001,4,LIST_ID,목록ID,VARCHAR,40,Y,Y,
AU0001,5,LIST_NM,목록명,VARCHAR,300,N,Y,
AU0001,6,ORG_ID,기관코드,VARCHAR,40,N,Y,
AU0001,7,TBL_ID,통계표ID,VARCHAR,40,Y,Y,
AU0001,8,TBL_NM,통계표명,VARCHAR,300,N,Y,
AU0001,9,STAT_ID,통계조사ID,VARCHAR,40,N,N,
AU0001,10,SEND_DE,최종갱신일,VARCHAR,10,N,N,
AU0001,11,REC_TBL_SE,추천 통계표 여부,VARCHAR,10,N,N,
