mega_cd,mega_nm,cty_cd,cty_nm,admi_cd,admi_nm,land_area
"29","광주광역시","29110","동구","29110525","충장동",1.08957428918054
"29","광주광역시","29110","동구","29110545","동명동",0.428609544890494
"46","전라남도","46910","신안군","46910400","안좌면",60.5193213467169
"46","전라남도","46910","신안군","46910410","팔금면",18.7011938048078
"46","전라남도","46910","신안군","46910420","암태면",43.8110525369048
"48","경상남도","48170","진주시","48170310","내동면",32.0335897760894
"29","광주광역시","29110","동구","29110560","계림1동",0.623108531545057
"48","경상남도","48840","남해군","48840330","삼동면",51.3780241266777
"48","경상남도","48840","남해군","48840340","미조면",16.6804793698105
"29","광주광역시","29110","동구","29110570","계림2동",0.568747261983273
"48","경상남도","48860","산청군","48860250","산청읍",68.3293337225892
"48","경상남도","48860","산청군","48860310","차황면",48.4475707368296
"48","경상남도","48860","산청군","48860320","오부면",34.7509907537686
"48","경상남도","48860","산청군","48860330","생초면",52.6709340977619
"27","대구광역시","27140","동구","27140590","효목1동",1.32096103023315
"51","강원특별자치도","51210","속초시","51210560","교동",0.753687687487793
"51","강원특별자치도","51210","속초시","51210570","노학동",22.2640988055393
"51","강원특별자치도","51210","속초시","51210580","조양동",5.5973997007021
"51","강원특별자치도","51210","속초시","51210590","청호동",1.15004361003919
"51","강원특별자치도","51210","속초시","51210600","대포동",66.1205384744699
"51","강원특별자치도","51230","삼척시","51230250","도계읍",163.75618014345
"51","강원특별자치도","51230","삼척시","51230253","원덕읍",178.391104396921
"29","광주광역시","29110","동구","29110620","지산1동",0.345752417313546
"48","경상남도","48880","거창군","48880360","마리면",46.1249226418808
"48","경상남도","48880","거창군","48880370","남상면",68.0399045065322
"51","강원특별자치도","51230","삼척시","51230310","근덕면",134.564270274836
"51","강원특별자치도","51230","삼척시","51230320","하장면",206.36314154462
"51","강원특별자치도","51230","삼척시","51230330","노곡면",144.223301356602
"51","강원특별자치도","51230","삼척시","51230340","미로면",99.0845076629981
"51","강원특별자치도","51230","삼척시","51230350","가곡면",152.13414081725
"51","강원특별자치도","51230","삼척시","51230360","신기면",56.1535028509428
"51","강원특별자치도","51230","삼척시","51230510","남양동",18.1731386980198
"51","강원특별자치도","51230","삼척시","51230570","성내동",22.6029736787744
"47","경상북도","47190","구미시","47190583","형곡2동",3.15309095152111
"29","광주광역시","29110","동구","29110655","서남동",1.46772228680666
"29","광주광역시","29110","동구","29110685","학동",0.792158041776859
"29","광주광역시","29110","동구","29110710","학운동",11.2014173584273
"48","경상남도","48880","거창군","48880380","남하면",49.4907923327502
"48","경상남도","48880","거창군","48880390","신원면",73.7053368217997
"48","경상남도","48880","거창군","48880400","가조면",65.8855717512787
"48","경상남도","48880","거창군","48880410","가북면",96.1085224441404
"27","대구광역시","27140","동구","27140670","방촌동",1.32899653516745
"27","대구광역시","27140","동구","27140685","해안동",13.2559114955182
"29","광주광역시","29110","동구","29110740","지원2동",27.4154437948436
"48","경상남도","48890","합천군","48890450","대병면",63.0602823655027
"48","경상남도","48890","합천군","48890460","용주면",90.108800987967
"50","제주특별자치도","50110","제주시","50110250","한림읍",92.1883641138466
"27","대구광역시","27140","동구","27140760","공산동",83.4353901221335
"27","대구광역시","27140","동구","27140730","안심2동",13.414715360704
"27","대구광역시","27140","동구","27140755","혁신동",16.5503043428783
"51","강원특별자치도","51750","영월군","51750340","남면",82.2104684576966
"51","강원특별자치도","51750","영월군","51750325","김삿갓면",171.081411590043
"51","강원특별자치도","51750","영월군","51750355","한반도면",69.6850786473093
"51","강원특별자치도","51750","영월군","51750312","산솔면",124.276543124456
"51","강원특별자치도","51760","평창군","51760250","평창읍",161.338781363349
"51","강원특별자치도","51760","평창군","51760310","미탄면",110.000333625947
"51","강원특별자치도","51760","평창군","51760330","대화면",166.254445346748
"51","강원특별자치도","51760","평창군","51760350","용평면",134.943152964941
"51","강원특별자치도","51760","평창군","51760360","진부면",332.192873894161
"51","강원특별자치도","51760","평창군","51760380","대관령면",220.192658655589
"51","강원특별자치도","51770","정선군","51770250","정선읍",214.276334126096
"50","제주특별자치도","50110","제주시","50110310","한경면",79.6559115271221
"29","광주광역시","29110","동구","29110590","산수1동",0.573871976465562
"29","광주광역시","29200","광산구","29200690","본량동",33.3974535942882
"29","광주광역시","29200","광산구","29200700","신창동",4.02256177744439
"29","광주광역시","29200","광산구","29200540","도산동",4.02002043836946
"29","광주광역시","29200","광산구","29200580","우산동",4.533843973458
"29","광주광역시","29110","동구","29110600","산수2동",0.874415047792081
"52","전북특별자치도","52111","전주시 완산구","52111660","서서학동",3.00531855696839
"11","서울특별시","11710","송파구","11710690","잠실4동",0.779600539629058
