mega_cd,mega_nm,cty_cd,cty_nm,land_area
"11","서울특별시","11230","동대문구",14.266488630601
"11","서울특별시","11260","중랑구",18.5231774111332
"11","서울특별시","11290","성북구",24.5602362578448
"11","서울특별시","11305","강북구",23.6205885371377
"11","서울특별시","11320","도봉구",20.6893834136482
"11","서울특별시","11350","노원구",35.5639915212402
"11","서울특별시","11380","은평구",29.7738898116228
"11","서울특별시","11410","서대문구",17.674706365896
"11","서울특별시","11440","마포구",23.844851763585
"11","서울특별시","11470","양천구",17.4500300994374
"11","서울특별시","11500","강서구",41.427521227197
"11","서울특별시","11530","구로구",20.0833609157454
"11","서울특별시","11545","금천구",13.0107502674523
"11","서울특별시","11560","영등포구",24.5057179127908
"11","서울특별시","11590","동작구",16.3636172924256
"11","서울특별시","11620","관악구",29.5632202825318
"11","서울특별시","11650","서초구",46.8847096369514
"11","서울특별시","11680","강남구",39.4586292620242
"11","서울특별시","11710","송파구",33.8268244387903
"11","서울특별시","11740","강동구",24.5378672457803
"26","부산광역시","26110","중구",3.02383119541247
"26","부산광역시","26140","서구",14.1452104419653
"26","부산광역시","26170","동구",10.1245392450273
"26","부산광역시","26200","영도구",14.6294409348439
"26","부산광역시","26230","부산진구",29.7445232884746
"26","부산광역시","26260","동래구",16.6570802949977
"26","부산광역시","26290","남구",27.2355631522402
"26","부산광역시","26320","북구",39.712922041174
"26","부산광역시","26350","해운대구",52.263114650895
"26","부산광역시","26380","사하구",47.4368597087766
"26","부산광역시","26410","금정구",65.6473041934189
"26","부산광역시","26440","강서구",185.656891301798
"26","부산광역시","26470","연제구",12.13492641597
"26","부산광역시","26500","수영구",10.3353626875631
"26","부산광역시","26530","사상구",36.1994256592829
"26","부산광역시","26710","기장군",219.640884125969
"27","대구광역시","27110","중구",7.04110418931954
"27","대구광역시","27140","동구",181.556831683746
"27","대구광역시","27170","서구",17.4038529106395
"27","대구광역시","27200","남구",17.798989478456
"27","대구광역시","27230","북구",93.6741714107223
"27","대구광역시","27260","수성구",76.7877129481253
"27","대구광역시","27290","달서구",62.5168575913539
"27","대구광역시","27710","달성군",422.804148961863
"27","대구광역시","27720","군위군",613.073541544447
"28","인천광역시","28110","중구",148.420129432528
"28","인천광역시","28140","동구",7.14168427416148
"28","인천광역시","28185","연수구",63.1478632539212
"28","인천광역시","28200","남동구",57.5649647439504
"28","인천광역시","28237","부평구",32.091912993698
"28","인천광역시","28245","계양구",45.5023825155419
"28","인천광역시","28260","서구",132.561142109987
"28","인천광역시","28177","미추홀구",24.9379732681522
"28","인천광역시","28710","강화군",412.970776342839
"28","인천광역시","28720","옹진군",185.239297540374
"29","광주광역시","29110","동구",48.7019466124273
"29","광주광역시","29140","서구",47.4889062245923
"29","광주광역시","29155","남구",60.5380752707656
"29","광주광역시","29170","북구",119.376486148355
"29","광주광역시","29200","광산구",221.910329650016
"30","대전광역시","30110","동구",137.087955524089
"30","대전광역시","30140","중구",62.0433947892881
"30","대전광역시","30170","서구",95.3504238483995
"30","대전광역시","30200","유성구",175.913992204629
"30","대전광역시","30230","대덕구",69.0763109387253
